"Lugar, día, rango horario:",23/06/2015 16:45 a 18:00   -   Parada del 293,,,,,,,,,
Línea,293,293,293,293,295,293,293,293,293,Paró un 295
Hora,16:48,16:51,16:57,17:05,17:05,17:12,17:13,17:21,17:23,
Tiempo Detenido (segundos),30,60,30,,40,110,35,60,60,
Suben,3,15,10,24,9,21,11,17,16,
Bajan,0,1,2,1,0,0,0,4,2,
Vacio,,,,,,,,,,
"No vacío, asientos libres",x,x,x,x,x,,,,x,
"No completo, sin asientos",,,,,,x,x,x,,
Completo,,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,,
# Personas en la parada: (N°/C /NC),7,15,16,29,21,31,12,23,20,
,,,,,,,,,,
Línea,293,293,293,293,293,293,293,293,,
Hora,17:33,17:35,17:40,17:42,17:44,17:51,17:59,18:01,,
Tiempo Detenido (segundos),65,60,20,45,40,60,30,25,,
Suben,15,16,6,10,6,17,8,3,,
Bajan,2,1,0,2,0,2,3,0,,
Vacio,,,,,,,,,,
"No vacío, asientos libres",,,x,x,x,x,x,x,,
"No completo, sin asientos",x,x,,,,,,,,
Completo,,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,,
# Personas en la parada: (N°/C /NC),30,16,11,15,12,20,11,3,,
,,,,,,,,,,
Línea,,,,,,,,,,
Hora,,,,,,,,,,
Tiempo Detenido (segundos),,,,,,,,,,
Suben,,,,,,,,,,
Bajan,,,,,,,,,,
Vacio,,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,,
"No completo, sin asientos",,,,,,,,,,
Completo,,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,,
# Personas en la parada: (N°/C /NC),,,,,,,,,,
