"Lugar, día, rango horario:",23/06/2015 16:45 a 18:00   -   Parada del 247,,,,,,,,
Línea,247,247,247,247,247,247,247,247,247
Hora,16:47,16:48,17:00,17:08,17:12,17:15,17:20,17:23,17:23
Tiempo Detenido (segundos),120,30,40,60,130,70,40,45,45
Suben,15,4,10,20,26,21,10,15,10
Bajan,4,1,10,2,8,2,4,5,2
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",x,x,x,x,x,,x,x,x
Completo,,,,,,x,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),15,16,30,32,42,36,23,34,34
,,,,,,,,,
Línea,247,247,247,247,247,247,247,247,
Hora,17:24,17:25,17:35,17:35,17:40,17:45,17:55,18:01,
Tiempo Detenido (segundos),40,15,40,50,20,6,5,6,
Suben,8,1,11,10,3,2,3,2,
Bajan,2,0,2,3,3,0,0,0,
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,x,x,
"No completo, sin asientos",x,x,x,x,x,x,,,
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),16,15,23,23,6,12,13,11,
,,,,,,,,,
Línea,,,,,,,,,
Hora,,,,,,,,,
Tiempo Detenido (segundos),,,,,,,,,
Suben,,,,,,,,,
Bajan,,,,,,,,,
Vacio,,,,,,,,,
"No vacío, asientos libres",,,,,,,,,
"No completo, sin asientos",,,,,,,,,
Completo,,,,,,,,,
Tan completo que no se detiene,,,,,,,,,
# Personas en la parada: (N°/C /NC),,,,,,,,,
